"Value","Reference","Package","LCSC Part"
"33pF","C1","0603",""
"100nF","C2","0603"," C14663"
"1uF","C3","0603","C15849"
"1uF16V","C4","0603","C15849"
"BAT54S","D1","","C19726"
"RCLAMP0521P-N","D2,D3,D4,D5","","C316043"
"SZYY0603O","D6,D7","0603","C434425"
"NH-B2020RGBA-HF","D8","SMD,2.1x2.1mm","C108793"
"1N4148WS","D9","",""
"~","FB1","",""
"220R","R1","0603",""
"150R","R2,R3","0603","C22808"
"30R","R4,R5,R6","0603","C22808"
"TS-1088-AR02016","SW1","SMD","C720477"
"STM32G030F6P6","U1","TSSOP-20","C724040"
"NCP114ASN330T1G","U2","TSOP-5-1.5mm","C457666"
